Player_A,Player_B,WinRate_A,WinRate_B,DrawRate,StdDev_A,StdDev_B,Points_A,Points_B,Match_Result
gpt_v1,gpt_v2,0.3233,0.377,0.2997,0.0132,0.0126,0,3,gpt_v2 Win
gpt_v1,gpt_v3,0.2782,0.4528,0.269,0.0139,0.0144,0,3,gpt_v3 Win
gpt_v1,gpt_v4,0.2321,0.5505,0.2174,0.0146,0.0199,0,3,gpt_v4 Win
gpt_v1,gpt_v5,0.3178,0.4772,0.205,0.017,0.0284,0,3,gpt_v5 Win
gpt_v1,gpt_v6,0.3231,0.3612,0.3157,0.0109,0.0143,0,3,gpt_v6 Win
gpt_v1,gpt_v7,0.3268,0.3546,0.3186,0.0154,0.0188,0,3,gpt_v7 Win
gpt_v1,gemini_v1,0.2183,0.5935,0.1882,0.0121,0.0132,0,3,gemini_v1 Win
gpt_v1,gemini_v2,0.326,0.3918,0.2821,0.0142,0.0181,0,3,gemini_v2 Win
gpt_v1,gemini_v3,0.2827,0.4708,0.2465,0.0161,0.0228,0,3,gemini_v3 Win
gpt_v1,gemini_v4,0.33,0.3451,0.325,0.0155,0.0158,0,3,gemini_v4 Win
gpt_v1,gemini_v5,0.2229,0.5713,0.2058,0.0127,0.0192,0,3,gemini_v5 Win
gpt_v1,gemini_v6,0.2651,0.4815,0.2533,0.0101,0.0217,0,3,gemini_v6 Win
gpt_v1,gemini_v7,0.2811,0.5035,0.2154,0.0132,0.0238,0,3,gemini_v7 Win
gpt_v1,claude_v6,0.3428,0.3804,0.2768,0.017,0.0233,0,3,claude_v6 Win
gpt_v1,claude_v7,0.2454,0.5455,0.2091,0.0164,0.0238,0,3,claude_v7 Win
gpt_v2,gpt_v3,0.3507,0.3212,0.3281,0.0165,0.0168,3,0,gpt_v2 Win
gpt_v2,gpt_v4,0.3512,0.3225,0.3263,0.0129,0.0136,3,0,gpt_v2 Win
gpt_v2,gpt_v5,0.3681,0.3145,0.3174,0.0146,0.0122,3,0,gpt_v2 Win
gpt_v2,gpt_v6,0.3292,0.3474,0.3235,0.0165,0.0156,0,3,gpt_v6 Win
gpt_v2,gpt_v7,0.3345,0.3329,0.3326,0.0158,0.0115,1,1,Draw
gpt_v2,gemini_v1,0.3513,0.3237,0.3249,0.0155,0.0155,3,0,gpt_v2 Win
gpt_v2,gemini_v2,0.353,0.3215,0.3255,0.016,0.0178,3,0,gpt_v2 Win
gpt_v2,gemini_v3,0.3372,0.3332,0.3296,0.015,0.0129,1,1,Draw
gpt_v2,gemini_v4,0.3317,0.3317,0.3366,0.0143,0.0156,1,1,Draw
gpt_v2,gemini_v5,0.3658,0.3179,0.3163,0.0127,0.0138,3,0,gpt_v2 Win
gpt_v2,gemini_v6,0.3397,0.3277,0.3326,0.0151,0.0119,3,0,gpt_v2 Win
gpt_v2,gemini_v7,0.3392,0.331,0.3297,0.0151,0.0149,1,1,Draw
gpt_v2,claude_v6,0.352,0.3203,0.3278,0.0131,0.0154,3,0,gpt_v2 Win
gpt_v2,claude_v7,0.3427,0.3276,0.3296,0.0119,0.0145,3,0,gpt_v2 Win
gpt_v3,gpt_v4,0.3524,0.3403,0.3073,0.0117,0.0133,3,0,gpt_v3 Win
gpt_v3,gpt_v5,0.366,0.3358,0.2983,0.0102,0.014,3,0,gpt_v3 Win
gpt_v3,gpt_v6,0.3277,0.3555,0.3168,0.0134,0.0153,0,3,gpt_v6 Win
gpt_v3,gpt_v7,0.3412,0.3314,0.3274,0.0191,0.0222,1,1,Draw
gpt_v3,gemini_v1,0.3819,0.3126,0.3055,0.013,0.0142,3,0,gpt_v3 Win
gpt_v3,gemini_v2,0.3738,0.312,0.3142,0.0153,0.0168,3,0,gpt_v3 Win
gpt_v3,gemini_v3,0.3248,0.3559,0.3193,0.0142,0.0136,0,3,gemini_v3 Win
gpt_v3,gemini_v4,0.331,0.3383,0.3307,0.0121,0.0132,1,1,Draw
gpt_v3,gemini_v5,0.3724,0.3391,0.2885,0.0171,0.0137,3,0,gpt_v3 Win
gpt_v3,gemini_v6,0.3299,0.3526,0.3175,0.0126,0.0132,0,3,gemini_v6 Win
gpt_v3,gemini_v7,0.334,0.3468,0.3193,0.0148,0.0176,0,3,gemini_v7 Win
